perturbation,severity,time_s,value,window_start_s,window_stop_s
emg_noise_floor,0.0,0.544,0.0915057361125946,1.0,1.944
emg_noise_floor,0.0,0.552,0.06285887956619263,1.0,1.944
emg_noise_floor,0.0,0.56,-0.01655619964003563,1.0,1.944
emg_noise_floor,0.0,0.568,-0.05733941122889519,1.0,1.944
emg_noise_floor,0.0,0.576,-0.07902362197637558,1.0,1.944
emg_noise_floor,0.0,0.584,-0.11547166109085083,1.0,1.944
emg_noise_floor,0.0,0.592,-0.10577376931905746,1.0,1.944
emg_noise_floor,0.0,0.6,-0.10494630038738251,1.0,1.944
emg_noise_floor,0.0,0.608,-0.10090833902359009,1.0,1.944
emg_noise_floor,0.0,0.616,-0.10749372094869614,1.0,1.944
emg_noise_floor,0.0,0.624,-0.09899479895830154,1.0,1.944
emg_noise_floor,0.0,0.632,-0.1090659350156784,1.0,1.944
emg_noise_floor,0.0,0.64,-0.1102476492524147,1.0,1.944
emg_noise_floor,0.0,0.648,-0.11503300070762634,1.0,1.944
emg_noise_floor,0.0,0.656,-0.14565509557724,1.0,1.944
emg_noise_floor,0.0,0.664,0.2812839448451996,1.0,1.944
emg_noise_floor,0.0,0.672,1.1913820505142212,1.0,1.944
emg_noise_floor,0.0,0.68,1.5967727899551392,1.0,1.944
emg_noise_floor,0.0,0.688,1.4673004150390625,1.0,1.944
emg_noise_floor,0.0,0.696,0.26144295930862427,1.0,1.944
emg_noise_floor,0.0,0.704,-0.11725262552499771,1.0,1.944
emg_noise_floor,0.0,0.712,0.024627404287457466,1.0,1.944
emg_noise_floor,0.0,0.72,-0.045421451330184937,1.0,1.944
emg_noise_floor,0.0,0.728,-0.041213974356651306,1.0,1.944
emg_noise_floor,0.0,0.736,-0.07540847361087799,1.0,1.944
emg_noise_floor,0.0,0.744,-0.07935497164726257,1.0,1.944
emg_noise_floor,0.0,0.752,-0.0833667665719986,1.0,1.944
emg_noise_floor,0.0,0.76,-0.0691358745098114,1.0,1.944
emg_noise_floor,0.0,0.768,-0.05030975118279457,1.0,1.944
emg_noise_floor,0.0,0.776,-0.06007872521877289,1.0,1.944
emg_noise_floor,0.0,0.784,-0.03363799303770065,1.0,1.944
emg_noise_floor,0.0,0.792,-0.03595638647675514,1.0,1.944
emg_noise_floor,0.0,0.8,-0.012586803175508976,1.0,1.944
emg_noise_floor,0.0,0.808,-0.01235242374241352,1.0,1.944
emg_noise_floor,0.0,0.816,0.011901943944394588,1.0,1.944
emg_noise_floor,0.0,0.824,0.03578699380159378,1.0,1.944
emg_noise_floor,0.0,0.832,0.061642248183488846,1.0,1.944
emg_noise_floor,0.0,0.84,0.0725194588303566,1.0,1.944
emg_noise_floor,0.0,0.848,0.10201287269592285,1.0,1.944
emg_noise_floor,0.0,0.856,0.13930587470531464,1.0,1.944
emg_noise_floor,0.0,0.864,0.16212071478366852,1.0,1.944
emg_noise_floor,0.0,0.872,0.1998860388994217,1.0,1.944
emg_noise_floor,0.0,0.88,0.2731761932373047,1.0,1.944
emg_noise_floor,0.0,0.888,0.30306923389434814,1.0,1.944
emg_noise_floor,0.0,0.896,0.31422048807144165,1.0,1.944
emg_noise_floor,0.0,0.904,0.35526517033576965,1.0,1.944
